iter	Logloss
0	0.4425067933
1	0.2689332717
2	0.1422348766
3	0.08386991092
4	0.05124958089
5	0.03639253789
6	0.02826534538
7	0.02317492654
8	0.020170834
9	0.0182028994
10	0.01651926758
11	0.01544310717
12	0.01486106897
13	0.01427134612
14	0.01383351079
15	0.01349211941
16	0.01323104059
17	0.01303666778
18	0.01284144396
19	0.01268185561
20	0.01256197523
21	0.01247513466
22	0.01236943326
23	0.01226068827
24	0.01215944363
25	0.01205441552
26	0.01200132468
27	0.01191392675
28	0.0118221863
29	0.0117626463
30	0.01169046796
31	0.01161497506
32	0.01157595087
33	0.01154696719
34	0.01147734135
35	0.01141212571
36	0.01136923443
37	0.01132433318
38	0.01128962835
39	0.01125045301
40	0.01121375589
41	0.01118652264
42	0.01114570253
43	0.0111054042
44	0.01104990094
45	0.01102351488
46	0.01097714737
47	0.01093758277
48	0.01091031207
49	0.01086819535
50	0.01083301356
51	0.01080863414
52	0.01077193636
53	0.0107377725
54	0.01070961282
55	0.01070006245
56	0.01066920618
57	0.01064207108
58	0.0106052228
59	0.01055828077
60	0.01053264398
61	0.0104977244
62	0.01047564129
63	0.01042881271
64	0.01038466712
65	0.01036301426
66	0.01032417383
67	0.01028433344
68	0.01023224312
69	0.01019188423
70	0.01017944048
71	0.01014025442
72	0.01012283187
73	0.01009979246
74	0.01007533744
75	0.0100465901
76	0.01000207764
77	0.009959766053
78	0.009933823438
79	0.009891786598
80	0.009860324958
81	0.00982863648
82	0.009816798347
83	0.009771347217
84	0.009738037957
85	0.009724749988
86	0.009709543618
87	0.009681359219
88	0.009665334085
89	0.009643753369
90	0.009605873651
91	0.009585382742
92	0.009559019231
93	0.00953332729
94	0.009516589918
95	0.009472683473
96	0.009444711089
97	0.00942854327
98	0.009399330336
99	0.009378319727
100	0.009360491583
101	0.009335007791
102	0.009310042897
103	0.009286630986
104	0.009250000681
105	0.009238690701
106	0.009215683262
107	0.009194682635
108	0.009170834768
109	0.009161886874
110	0.009122139645
111	0.009104766299
112	0.009063727312
113	0.00903785306
114	0.009034988988
115	0.009025537177
116	0.008993434487
117	0.008953920721
118	0.008923250631
119	0.008894972583
120	0.008887138094
121	0.008880502548
122	0.008854002384
123	0.008825172103
124	0.008812268313
125	0.00878305683
126	0.00875013433
127	0.008722985627
128	0.008695688037
129	0.008672212754
130	0.008643012625
131	0.008638408265
132	0.008617314073
133	0.008614364646
134	0.008607584938
135	0.008590917225
136	0.008575622846
137	0.00854414671
138	0.008506501401
139	0.008503115131
140	0.008477281626
141	0.008457149695
142	0.008452407001
143	0.008441049432
144	0.008407365412
145	0.008361572942
146	0.0083574473
147	0.008342516726
148	0.008325912464
149	0.008313564129
150	0.008286027786
151	0.008260754727
152	0.008218658217
153	0.008196340949
154	0.008164185759
155	0.008155558513
156	0.008126935096
157	0.008117673563
158	0.008113058016
159	0.008085974374
160	0.00805252774
161	0.008029981783
162	0.008019292562
163	0.008011503489
164	0.007992890153
165	0.007984150173
166	0.007962931087
167	0.007952510577
168	0.007929890293
169	0.007924287201
170	0.007908024684
171	0.007890532646
172	0.007879794626
173	0.007872074562
174	0.007865078083
175	0.007840673721
176	0.007793673314
177	0.00777117398
178	0.00774350284
179	0.007726463185
180	0.007713128914
181	0.00770648739
182	0.007680958265
183	0.007671958433
184	0.007651362279
185	0.007631634257
186	0.00762241854
187	0.007617958001
188	0.007590710336
189	0.007581728223
190	0.007564331762
191	0.007548815137
192	0.007526990752
193	0.007512450478
194	0.007509134425
195	0.007482425872
196	0.007469008764
197	0.00743554949
198	0.007424941113
199	0.007411758956
200	0.007400823895
201	0.007389696705
202	0.007382826327
203	0.007376550136
204	0.007358130866
205	0.007350231797
206	0.007334921794
207	0.00732893565
208	0.007309886925
209	0.007304258549
210	0.007288388344
211	0.00726397898
212	0.007238250396
213	0.007222411835
214	0.007215030454
215	0.007189227305
216	0.007176601083
217	0.007171739696
218	0.007157995079
219	0.00713894297
220	0.007129650756
221	0.007125336046
222	0.007120915529
223	0.007117139121
224	0.007088093036
225	0.007080211033
226	0.007066704524
227	0.007060399344
228	0.007032057521
229	0.007029930886
230	0.007010162279
231	0.006987082447
232	0.006973556612
233	0.006962630008
234	0.006955247418
235	0.006942619746
236	0.006931448509
237	0.006920974044
238	0.006907631805
239	0.00690372406
240	0.006897050323
241	0.006873969365
242	0.00686291763
243	0.006851893913
244	0.006841034464
245	0.006814230804
246	0.006801557554
247	0.006781311602
248	0.006771159717
249	0.006748273629
250	0.006734563475
251	0.006720697908
252	0.00671413231
253	0.006701620677
254	0.006679802167
255	0.006660805863
256	0.006648534026
257	0.006629099915
258	0.006618249726
259	0.006607616791
260	0.006594435358
261	0.006573786864
262	0.006546258977
263	0.006542737508
264	0.006536326119
265	0.006526045074
266	0.006515090607
267	0.006504422967
268	0.006476416606
269	0.006467198073
270	0.006447851087
271	0.006418065151
272	0.006403042256
273	0.006389637046
274	0.006379410508
275	0.006372352711
276	0.006346690762
277	0.006332689874
278	0.006320020411
279	0.006303848078
280	0.006287762996
281	0.006279324457
282	0.006240296231
283	0.006233701085
284	0.006214848476
285	0.006206581371
286	0.006186900372
287	0.006170056954
288	0.006167012749
289	0.00615063806
290	0.006133383729
291	0.006107593226
292	0.00609434713
293	0.00608817095
294	0.006080583428
295	0.006073279068
296	0.006049815701
297	0.006040813656
298	0.006030399907
299	0.006023785718
